Date,Price
2020-05-13,97.79
2020-05-14,97.91
2020-05-15,97.74
2020-05-18,98.01
2020-05-19,98.5
2020-05-20,98.89
2020-05-21,98.76
2020-05-22,98.9
2020-05-25,99.15
2020-05-26,99.16
2020-05-27,99.59
2020-05-28,100.3
2020-05-29,100.33
2020-06-01,100.11
2020-06-02,100.11
2020-06-03,99.7
2020-06-04,100.31
2020-06-05,99.88
2020-06-08,100.26
2020-06-09,99.42
2020-06-10,99.03
2020-06-11,99.58
2020-06-12,99.85
2020-06-15,100.14
2020-06-16,100.34
2020-06-17,100.16
2020-06-18,100.59
2020-06-19,100.75
2020-06-22,100.88
2020-06-23,100.94
2020-06-24,101.02
2020-06-25,101.12
2020-06-26,101.07
2020-06-29,101.02
2020-06-30,101.01
2020-07-01,100.87
2020-07-02,101.15
2020-07-03,101.18
2020-07-06,101.53
2020-07-07,101.48
2020-07-08,101.62
2020-07-09,101.69
2020-07-10,101.7
2020-07-13,101.41
2020-07-14,101.61
2020-07-15,101.49
2020-07-16,101.69
2020-07-17,101.72
2020-07-21,102.11
2020-07-22,102.3
2020-07-23,102.33
2020-07-24,102.1
2020-07-27,102.27
2020-07-28,101.98
2020-07-29,102.21
2020-07-30,102.8
2020-07-31,102.28
2020-08-03,102.24
2020-08-04,102.85
2020-08-05,102.33
2020-08-06,102.86
2020-08-07,102.91
2020-08-10,103.13
2020-08-11,102.78
2020-08-12,102.59
2020-08-13,102.04
2020-08-14,102.14
2020-08-17,102.42
2020-08-18,102.54
2020-08-19,102.68
2020-08-20,102.56
2020-08-21,102.41
2020-08-24,102.13
2020-08-25,101.63
2020-08-26,101.72
2020-08-27,101.59
2020-08-28,101.99
2020-08-31,101.67
2020-09-01,101.7
2020-09-02,102.35
2020-09-03,101.98
2020-09-04,102.05
2020-09-07,102.02
2020-09-08,102.26
2020-09-09,102.21
2020-09-10,102.34
2020-09-11,102.4
2020-09-14,102.74
2020-09-15,102.81
2020-09-16,102.9
2020-09-17,102.93
2020-09-18,102.72
2020-09-21,102.75
2020-09-22,103.22
2020-09-23,103.48
2020-09-24,103.57
2020-09-25,103.06
2020-09-28,103.13
2020-09-29,103.3
2020-09-30,103.04
2020-10-01,103.1
2020-10-02,103.3
2020-10-05,103.02
2020-10-06,103.16
2020-10-07,103.09
2020-10-08,103.45
2020-10-09,103.85
2020-10-12,104.03
2020-10-13,103.98
2020-10-14,104.11
2020-10-15,104.13
2020-10-16,104.21
2020-10-19,103.81
2020-10-20,103.64
2020-10-21,103.48
2020-10-22,103.16
2020-10-23,103.41
2020-10-26,103.57
2020-10-27,103.77
2020-10-28,103.53
2020-10-29,104.06
2020-10-30,104.25
2020-11-02,104.08
2020-11-03,104.25
2020-11-04,104.47
2020-11-05,104.42
2020-11-06,104.44
2020-11-09,103.48
2020-11-10,103.49
2020-11-11,103.85
2020-11-12,104.02
2020-11-13,104.3
2020-11-16,104.35
2020-11-17,104.55
2020-11-18,104.54
