Date,Price
2020-05-20,1.378
2020-05-21,1.297
2020-05-22,1.415
2020-05-25,1.565
2020-05-26,1.76
2020-05-27,1.775
2020-05-28,2.085
2020-05-29,1.97
2020-06-01,2.2
2020-06-02,2.585
2020-06-03,3.24
2020-06-04,3.27
2020-06-05,3.89
2020-06-08,3.98
2020-06-09,3.56
2020-06-10,3.4
2020-06-11,2.295
2020-06-12,2.23
2020-06-15,2.35
2020-06-16,2.9
2020-06-17,2.86
2020-06-18,2.765
2020-06-19,2.905
2020-06-22,2.805
2020-06-23,3.18
2020-06-24,2.455
2020-06-25,2.52
2020-06-26,2.38
2020-06-29,2.665
2020-06-30,2.605
2020-07-01,2.485
2020-07-02,3.02
2020-07-03,2.82
2020-07-06,3.19
2020-07-07,3.2
2020-07-08,3.05
2020-07-09,2.675
2020-07-10,2.835
2020-07-13,3.1
2020-07-14,2.94
2020-07-15,3.38
2020-07-16,3.44
2020-07-17,3.51
2020-07-20,3.87
2020-07-21,3.97
2020-07-22,3.8
2020-07-23,3.64
2020-07-24,3.17
2020-07-27,3.11
2020-07-28,2.995
2020-07-29,2.93
2020-07-30,2.21
2020-07-31,2.2
2020-08-03,2.34
2020-08-04,2.52
2020-08-05,2.69
2020-08-06,2.445
2020-08-07,2.45
2020-08-10,2.545
2020-08-11,3.08
2020-08-12,3.34
2020-08-13,3.22
2020-08-14,2.9
2020-08-17,2.855
2020-08-18,2.695
2020-08-19,2.895
2020-08-20,2.64
2020-08-21,2.525
2020-08-24,2.915
2020-08-25,2.895
2020-08-26,2.91
2020-08-27,2.7
2020-08-28,2.645
2020-08-31,2.44
2020-09-01,2.41
2020-09-02,2.59
2020-09-03,2.345
2020-09-04,2.185
2020-09-07,2.445
2020-09-08,2.2
2020-09-09,2.475
2020-09-10,2.515
2020-09-11,2.54
2020-09-14,2.51
2020-09-15,2.65
2020-09-16,2.63
2020-09-17,2.475
2020-09-18,2.28
2020-09-21,1.64
2020-09-22,1.75
2020-09-23,1.74
2020-09-24,1.715
2020-09-25,1.565
2020-09-28,1.855
2020-09-29,1.81
2020-09-30,1.785
2020-10-01,1.785
2020-10-02,1.765
2020-10-05,1.915
2020-10-06,2.025
2020-10-07,2.025
2020-10-08,2.155
2020-10-09,2.15
2020-10-12,2.235
2020-10-13,2.125
2020-10-14,2.165
2020-10-15,1.74
2020-10-16,1.95
2020-10-19,1.95
2020-10-20,2.025
2020-10-21,1.745
2020-10-22,1.71
2020-10-23,1.81
2020-10-26,1.645
2020-10-27,1.473
2020-10-28,1.024
2020-10-29,1.002
2020-10-30,1.053
2020-11-02,1.216
2020-11-03,1.491
2020-11-04,1.705
2020-11-05,1.955
2020-11-06,1.935
2020-11-09,2.65
2020-11-10,2.8
2020-11-11,2.875
2020-11-12,2.745
2020-11-13,2.82
2020-11-16,3.18
2020-11-17,3.31
2020-11-18,3.475
2020-11-19,3.385
2020-11-20,3.555
2020-11-23,3.65
2020-11-24,4.085
2020-11-25,4.32
2020-11-26,4.2
2020-11-27,4.365
2020-11-30,4.125
2020-12-01,4.04
2020-12-02,3.855
2020-12-03,3.925
2020-12-04,4.085
2020-12-07,3.99
2020-12-08,3.97
2020-12-09,3.875
2020-12-10,3.85
2020-12-11,3.53
2020-12-14,3.63
2020-12-15,3.795
2020-12-16,3.805
