Date,Price
2019-10-09,128.777
2019-10-16,133.257
2019-10-23,133.612
2019-10-30,134.41
2019-11-06,136.389
2019-11-13,137.036
2019-11-20,136.989
2019-12-04,134.66
2019-12-11,136.785
2019-12-18,139.591
2019-12-25,140.875
2020-01-01,140.351
2020-01-08,140.751
2020-01-15,142.217
2020-01-22,142.672
2020-01-29,140.235
2020-02-05,140.428
2020-02-12,143.411
2020-02-19,143.389
2020-02-26,135.906
2020-03-04,130.147
2020-03-11,118.203
2020-03-18,105.746
2020-03-25,106.808
2020-04-01,111.594
2020-04-08,115.222
2020-04-15,117.756
2020-04-22,114.998
2020-05-06,117.979
2020-05-13,119.241
2020-05-20,120.178
2020-05-27,122.631
2020-06-03,126.623
2020-06-10,131.169
2020-06-17,128.442
2020-06-24,130.81
2020-07-01,128.311
2020-07-08,132.612
2020-07-15,132.612
2020-07-22,135.826
2020-07-29,133.435
2020-08-05,133.631
2020-08-12,136.241
2020-08-19,135.779
2020-08-26,137.551
2020-09-02,137.5
2020-09-09,135.117
2020-09-16,136.809
2020-09-23,132.056
2020-09-30,133.639
2020-10-07,135.148
2020-10-14,138.288
2020-10-21,136.395
2020-10-28,133.001
2020-12-16,145.763
2020-12-23,145.486
2020-12-30,147.783
2021-01-06,147.488
2021-01-13,150.944
2021-01-20,152.466
2021-01-27,150.218
2021-02-03,152.545
2021-02-10,155.216
2021-02-17,156.633
2021-02-24,154.229
2021-03-03,154.58
2021-03-24,155.939
2021-03-31,158.155
2021-04-07,160.489
2021-04-14,161.134
2021-04-21,161.247
2021-04-28,163.176
2021-05-05,162.139
2021-05-12,160.172
2021-05-19,159.626
2021-05-26,163.088
2021-06-02,164.773
2021-06-09,164.983
2021-06-16,165.961
2021-06-23,165.359
2021-06-30,166.396
2021-07-07,166.434
2021-07-14,167.077
2021-07-21,164.727
2021-07-28,165.869
2021-08-04,167.203
2021-08-11,168.467
2021-08-18,167.545
2021-08-25,168.077
2021-09-01,170.041
2021-09-08,169.323
2021-09-15,167.506
2021-09-22,166.03
2021-09-29,164.98
2021-10-13,165.013
2021-11-10,173.82
2021-11-17,175.951
2021-11-24,173.275
2021-12-01,169.747
2021-12-08,172.114
2021-12-15,169.311
2021-12-22,170.055
2021-12-29,173.278
2022-01-05,174.885
2022-01-12,173.696
2022-01-19,170.722
2022-01-26,166.066
2022-02-02,169.523
2022-02-09,168.511
2022-02-16,166.572
2022-02-23,162.911
2022-03-02,158.838
2022-03-09,154.813
2022-03-16,158.244
2022-03-23,160.242
2022-03-30,163.782
2022-04-06,159.999
2022-04-13,158.612
2022-04-20,160.204
2022-04-27,153.536
2022-05-04,154.149
2022-05-11,149.32
2022-05-18,151.865
2022-05-25,149.258
2022-06-01,154.386
2022-06-08,155.172
2022-06-15,145.141
2022-06-22,142.895
2022-06-29,145.525
2022-07-06,144.34
2022-07-13,144.292
2022-07-20,148.385
2022-07-27,149.111
2022-08-03,152.93
2022-08-10,153.747
2022-08-17,155.987
2022-08-24,152.523
2022-08-31,148.572
2022-09-07,146.244
2022-09-14,147.58
2022-09-21,144.658
2022-09-28,138.106
2022-10-05,141.749
2022-10-12,137.28
2022-10-19,140.682
2022-10-26,143.484
2022-11-02,144.979
2022-11-09,146.241
2022-11-16,151.626
2022-11-23,152.645
2022-11-30,153.053
2022-12-07,151.62
2022-12-14,153.654
2022-12-21,149.254
2022-12-28,148.262
2023-01-04,150.886
2023-01-11,155.03
2023-01-18,157.007
2023-01-25,156.895
2023-02-01,158.01
2023-02-08,159.411
2023-02-15,159.588
2023-02-22,156.988
2023-03-01,156.632
2023-03-08,157.56
2023-03-15,151.315
2023-03-22,155.571
2023-03-29,156.334
2023-04-05,158.537
2023-04-12,159.71
2023-04-19,160.326
2023-04-26,158.207
2023-05-03,158.712
2023-05-10,159.527
2024-09-11,186.469
2024-09-18,190.562
2024-09-25,194.731
2024-10-02,196.936
